id,death,value
flare,
flare.vstrict,
flare.vstrict.California, 3, 7.1
flare.vstrict.Delaware, 3, 11.1
flare.vstrict.Illinois, 3, 9.0
flare.vstrict.Pennsylvania, 4, 10.5
flare.strict, 
flare.strict.Connecticut, 9, 5.0
flare.strict.Hawaii, 8, 2.6
flare.strict.Iowa, 9, 7.5
flare.strict.Massachusetts, 9, 3.2
flare.strict.NorthCarolina, 10, 11.8
flare.strict.Nebraska, 10, 9.5
flare.strict.NewJersey, 9, 5.3
flare.strict.NewYork, 10, 4.2
flare.strict.Tennessee, 9, 15.1
flare.strict.Washington, 7, 9.7
flare.hard,
flare.hard.Alaska, 15, 19.2
flare.hard.Alabama, 14, 16.9
flare.hard.Arkansas, 15, 16.6
flare.hard.Arizona, 15, 13.5
flare.hard.Colorado, 11, 12.2
flare.hard.Kanas, 13, 11.3
flare.hard.Maryland, 11, 9
flare.hard.Maine, 15, 9.4
flare.hard.Michigan, 11, 11.1
flare.hard.Minnesota, 12, 6.6
flare.hard.NorthDakota, 13, 12.3
flare.hard.Ohio, 15, 10.3
flare.hard.Oregon, 13, 15.6
flare.hard.RhodeIsland, 11, 3
flare.hard.SouthCarolina, 14, 15.5
flare.hard.Utah, 11, 12.3
flare.hard.Virginia, 12, 10.3
flare.hard.Wisconsin, 13, 8.2
flare.hard.WestVirginia, 11, 14.6
flare.medium, 
flare.medium.Georgia, 19, 13.7
flare.medium.Florida, 19, 11.5
flare.medium.Indiana, 17, 12.4
flare.medium.Kentucky, 19, 13.9
flare.medium.Louisiana, 19, 19.0
flare.medium.Missouri, 19, 15.3
flare.medium.Mississippi, 19, 18.3
flare.medium.NewMexico, 19, 16
flare.medium.Nevada, 17, 14.8
flare.medium.Oklahoma, 19, 15.7
flare.medium.SouthDakota, 19, 10.3
flare.medium.Texas, 17, 10.7
flare.easy,
flare.easy.Idaho, 21, 13.2
flare.easy.Montana, 21, 16.1
flare.easy.NewHampshire, 21, 8.7
flare.easy.Vermont, 21, 10.3
flare.easy.Wyoming, 21, 16.2

